[21-May-2012 18:45:45] PHP Fatal error:  Allowed memory size of 33554432 bytes exhausted (tried to allocate 122880 bytes) in /Applications/MAMP/htdocs/snowboardclub/sites/all/modules/views/theme/theme.inc on line 113
[26-Jul-2012 21:56:55] PHP Notice:  Undefined property: TemplatesTableStyle::$checked_out in /Applications/MAMP/htdocs/test/libraries/joomla/application/component/modelform.php on line 110
[26-Jul-2012 22:02:03] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/test/administrator/templates/rt_missioncontrol/ajax-models/quickeditor.php on line 31
[26-Jul-2012 22:08:35] PHP Notice:  Undefined variable: prev in /Applications/MAMP/htdocs/test/administrator/components/com_config/models/application.php on line 267
[27-Jul-2012 10:31:49] PHP Notice:  Undefined property: ContentTableFeatured::$checked_out in /Applications/MAMP/htdocs/test/libraries/joomla/application/component/modeladmin.php on line 592
[27-Jul-2012 12:32:09] PHP Warning:  Missing argument 3 for JDatabase::updateObject(), called in /Applications/MAMP/htdocs/test/administrator/components/com_finder/helpers/indexer/taxonomy.php on line 231 and defined in /Applications/MAMP/htdocs/test/libraries/joomla/database/database.php on line 1551
[27-Jul-2012 12:32:09] PHP Notice:  Undefined variable: key in /Applications/MAMP/htdocs/test/libraries/joomla/database/database.php on line 1570
[27-Jul-2012 12:32:09] PHP Notice:  Undefined variable: key in /Applications/MAMP/htdocs/test/libraries/joomla/database/database.php on line 1570
[22-Jan-2013 17:46:57] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 17:47:24] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 17:47:38] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 17:48:05] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 17:53:35] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 17:55:22] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 17:56:28] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 17:56:31] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 19:43:27] PHP Notice:  Undefined variable: oddeven in /Applications/MAMP/htdocs/testing/templates/metroshows/html/com_content/featured/default.php on line 61
[22-Jan-2013 19:44:46] PHP Warning:  require_once(/Applications/MAMP/htdocs/test/includes/defines.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/test/index.php on line 18
[22-Jan-2013 19:44:46] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required '/Applications/MAMP/htdocs/test/includes/defines.php' (include_path='.:/Applications/MAMP/bin/php/php5.3.6/lib/php') in /Applications/MAMP/htdocs/test/index.php on line 18
[22-Jan-2013 19:44:51] PHP Warning:  require_once(/Applications/MAMP/htdocs/test/includes/defines.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/test/index.php on line 18
[22-Jan-2013 19:44:51] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required '/Applications/MAMP/htdocs/test/includes/defines.php' (include_path='.:/Applications/MAMP/bin/php/php5.3.6/lib/php') in /Applications/MAMP/htdocs/test/index.php on line 18
[22-Jan-2013 19:48:52] PHP Notice:  Undefined property: stdClass::$parent_id in /Applications/MAMP/htdocs/testing/libraries/joomla/html/html/menu.php on line 335
